member_id,first_name,last_name,date_of_birth,gender,email,phone_number,address,city,state,zip_code,policy_start_date,deductible_amount,primary_care_physician,emergency_contact_name,emergency_contact_phone
8a07080a-d077-48ce-82c4-e615ac3b16aa,Patsy,Kimbley,2021-11-04,Male,pkimbley0@quantcast.com,920-366-4013,35 Pankratz Trail,Milwaukee,WI,53205,1997-11-29,1519.28,Patsy Kimbley,Patsy Kimbley,361-426-0593
c2418bca-5c92-4c8d-a71e-9c425339d332,Lexine,Kleinpeltz,1965-06-02,Female,lkleinpeltz1@msn.com,757-165-3518,2 Lukken Alley,Virginia Beach,VA,23471,1998-06-28,3159.43,Lexine Kleinpeltz,Lexine Kleinpeltz,952-607-3954
7544342e-147f-4f43-866f-6b2a3a86aeb7,Dael,Francescotti,2020-10-18,Female,dfrancescotti2@flickr.com,330-539-7559,108 Northfield Circle,Akron,OH,44315,2022-09-25,4550.86,Dael Francescotti,Dael Francescotti,612-348-3192
997a3e41-468f-41db-a323-f8304e0094ec,Vic,Bunce,1951-09-05,Male,vbunce3@github.io,801-146-9956,81 Sunnyside Plaza,Ogden,UT,84409,2006-04-24,955.76,Vic Bunce,Vic Bunce,757-995-9838
9f9bd7e9-cfcc-4e87-a7ae-41154557fb32,Dion,Kunkel,2010-12-29,Female,dkunkel4@microsoft.com,901-448-0933,14 Talmadge Trail,Memphis,TN,38104,2016-01-23,1754.13,Dion Kunkel,Dion Kunkel,608-811-3056
71bd898f-d403-42ad-8201-a528bcab53ab,Bronnie,Jerrold,1979-06-30,Male,bjerrold5@surveymonkey.com,972-983-3191,788 Sugar Pass,Dallas,TX,75231,2012-01-29,3745.61,Bronnie Jerrold,Bronnie Jerrold,253-486-1141
0dedbc22-d201-4124-9626-245bcb5139e5,Joannes,Seczyk,1960-05-30,Female,jseczyk6@cocolog-nifty.com,916-284-9322,27 Lunder Pass,Sacramento,CA,94245,2005-01-27,3962.38,Joannes Seczyk,Joannes Seczyk,336-384-0039
dded64f6-69c8-43df-82f6-73de92e434f4,Heddie,Clowton,1993-02-21,Female,hclowton7@adobe.com,917-305-7821,5 Bluestem Court,New York City,NY,10165,2015-10-18,2363.58,Heddie Clowton,Heddie Clowton,918-585-0339
c90aa678-f3b3-4184-8d9d-5ca8a6d024c7,Alissa,Tugwell,1962-11-07,Non-binary,atugwell8@devhub.com,860-672-5245,5 Packers Place,Hartford,CT,06120,2006-04-01,1053.03,Alissa Tugwell,Alissa Tugwell,336-783-6468
a085d27a-03f4-40f8-b93b-a8c500d5e8af,Sheridan,Gunney,2011-01-18,Male,sgunney9@spotify.com,213-773-8078,7596 Clemons Park,Los Angeles,CA,90030,2011-06-22,3062.8,Sheridan Gunney,Sheridan Gunney,717-157-4468
9a920dbf-0112-4d87-92e2-a3b906724196,Wynn,Pideon,1971-11-26,Female,wpideona@nydailynews.com,260-811-5204,660 Carey Lane,Fort Wayne,IN,46852,2012-03-05,1196.92,Wynn Pideon,Wynn Pideon,415-988-2261
c6a4013b-a267-4a49-881f-a473cd8a3131,Avis,Quilliam,2006-06-27,Female,aquilliamb@pcworld.com,704-868-5284,9763 Helena Lane,Charlotte,NC,28247,2016-08-20,1051.28,Avis Quilliam,Avis Quilliam,713-342-7866
afc4973d-64ce-431f-80f2-8a915cdc2132,Sosanna,Kleinplac,2001-01-04,Female,skleinplacc@com.com,469-184-3930,5739 Sullivan Court,Dallas,TX,75246,2006-04-24,1879.43,Sosanna Kleinplac,Sosanna Kleinplac,616-892-7720
b7445ef4-1bea-45a6-82ef-11681e812579,Chrissy,Larvor,1959-02-24,Male,clarvord@craigslist.org,202-985-5822,8 Hazelcrest Alley,Washington,DC,20016,2011-03-22,2003.06,Chrissy Larvor,Chrissy Larvor,508-146-7478
ddf6afe3-cbfd-4f22-9ac2-b51e2d578e19,Kirsti,Phoebe,1953-07-29,Female,kphoebee@nationalgeographic.com,254-210-5871,421 Talmadge Place,Killeen,TX,76544,2022-12-24,2601.13,Kirsti Phoebe,Kirsti Phoebe,917-597-9833
80d04321-b266-472e-ad16-c79c76d2870a,Nissa,Ferrettini,1953-08-23,Genderfluid,nferrettinif@wunderground.com,540-633-6022,398 Vernon Alley,Roanoke,VA,24048,2001-07-18,4315.88,Nissa Ferrettini,Nissa Ferrettini,907-844-6709
d8e16d01-654e-48d9-89f6-b039b734a13e,Brandie,Laird,1951-09-07,Genderqueer,blairdg@forbes.com,857-656-2483,0 Grasskamp Point,Watertown,MA,02472,2015-07-05,2031.51,Brandie Laird,Brandie Laird,763-503-1308
9a5cd39e-fe6f-46bd-ac17-6b88d39396e1,Corbin,McColm,2008-03-11,Male,cmccolmh@addthis.com,559-565-4414,6 Duke Center,Fresno,CA,93794,2017-05-26,3912.89,Corbin McColm,Corbin McColm,682-962-6175
aa195330-b61e-4567-a4be-9f0210fcdf68,Abby,Lamplough,1974-07-22,Male,alamploughi@booking.com,813-417-4531,74630 Susan Parkway,Tampa,FL,33610,2001-09-15,515.3,Abby Lamplough,Abby Lamplough,208-733-0739
34f53f09-33fc-45de-b416-311daa29748b,Phyllys,Roskell,2016-02-20,Female,proskellj@ted.com,217-246-4902,0108 Leroy Center,Springfield,IL,62711,2019-05-24,2236.97,Phyllys Roskell,Phyllys Roskell,513-508-9077
19f7a9d1-978d-4eb1-bd2c-c2dd29f0d258,Doralin,Tremelling,2003-05-07,Female,dtremellingk@nytimes.com,949-572-3826,44 Gina Alley,Irvine,CA,92619,2000-06-18,1602.58,Doralin Tremelling,Doralin Tremelling,813-652-0237
063e53ff-0590-4f57-8ad9-94713f8ba2f5,Jacobo,Saker,1966-07-30,Male,jsakerl@joomla.org,203-515-8083,743 Lighthouse Bay Trail,Stamford,CT,06912,2021-10-30,4496.46,Jacobo Saker,Jacobo Saker,352-331-2641
52f853cd-fed8-4366-a043-cbd920ee2637,Cindi,MacAllan,2006-03-19,Female,cmacallanm@unicef.org,510-358-9253,2 Holy Cross Center,Berkeley,CA,94705,2001-12-02,3852.87,Cindi MacAllan,Cindi MacAllan,801-889-0865
c78765a0-60c3-454d-85b1-9832a7151954,Sebastien,Stebbings,2022-10-31,Male,sstebbingsn@com.com,763-517-2688,2089 Jenifer Road,Monticello,MN,55585,1996-03-19,4161.33,Sebastien Stebbings,Sebastien Stebbings,210-763-3310
68409ec3-19ce-45d1-a882-79589a6455de,Timofei,Pearl,1999-06-12,Male,tpearlo@globo.com,505-919-1022,1 Northfield Avenue,Albuquerque,NM,87195,2000-08-31,767.41,Timofei Pearl,Timofei Pearl,404-180-2818
89f0acac-1c5f-43a1-9dcc-393dbf679dd5,Lotti,Vuittet,1971-07-16,Female,lvuittetp@umich.edu,775-209-9549,64 Alpine Place,Reno,NV,89519,2008-08-13,1267.11,Lotti Vuittet,Lotti Vuittet,402-630-5536
b2b45ae8-4de9-4206-9739-ac1476eb4b5a,Veronika,Cadigan,1981-06-28,Female,vcadiganq@symantec.com,513-691-4298,7294 Hanson Road,Cincinnati,OH,45243,2023-06-10,1033.3,Veronika Cadigan,Veronika Cadigan,316-436-2573
0c4baba2-8c9d-4eac-9aab-0dd451047769,Shell,L'Episcopi,1965-02-20,Male,slepiscopir@arstechnica.com,714-707-0427,84 Roth Trail,Orange,CA,92862,2012-12-14,4624.49,Shell L'Episcopi,Shell L'Episcopi,404-615-0783
faf2a5d8-25ad-408e-aab4-86c66b9b9bd2,Cahra,Sayburn,1979-04-30,Female,csayburns@bbb.org,859-645-0037,74 Anderson Place,Lexington,KY,40524,2020-03-14,3178.46,Cahra Sayburn,Cahra Sayburn,217-555-4621
02fcabb4-4121-45cd-9865-5f3b7fd7226d,Ingemar,Sivills,1999-09-04,Male,isivillst@wsj.com,860-388-4724,1223 Kedzie Center,Hartford,CT,06152,2018-01-12,3230.76,Ingemar Sivills,Ingemar Sivills,562-350-2822
9e91f5e9-6e16-45d5-8c84-a5012b9eb552,Isadora,Brealey,1981-11-19,Female,ibrealeyu@homestead.com,586-373-5277,9671 Haas Way,Warren,MI,48092,2001-01-07,4204.31,Isadora Brealey,Isadora Brealey,816-430-5875
5d9a1a95-bccf-4e17-b4d3-4ae8ef612302,Ronnie,Richings,1981-01-07,Male,rrichingsv@craigslist.org,806-379-2906,51 Huxley Parkway,Amarillo,TX,79171,1997-07-30,3174.15,Ronnie Richings,Ronnie Richings,314-258-0643
91d4b68a-1e73-494b-882b-512f4133a5e7,Valentijn,Zanicchi,1979-11-25,Male,vzanicchiw@chron.com,305-799-8973,4 Grim Pass,Miami,FL,33175,2002-04-08,3225.26,Valentijn Zanicchi,Valentijn Zanicchi,336-888-3204
9dcdc7f8-cde0-44eb-9279-af3eaf3023c3,Toiboid,Yexley,2014-01-22,Male,tyexleyx@zimbio.com,305-733-1201,39127 Village Green Point,Miami,FL,33185,1997-08-04,4592.3,Toiboid Yexley,Toiboid Yexley,805-503-5520
c9fcb7ec-8265-4f03-aabf-95ba7dbc7a69,Lida,Gristock,2007-05-26,Female,lgristocky@paginegialle.it,570-280-5386,19 Ohio Avenue,Wilkes Barre,PA,18768,1995-01-14,851.69,Lida Gristock,Lida Gristock,510-110-9832
1f70b067-1983-4986-8b5d-63d7703d04f0,Wells,Scraney,1953-01-01,Male,wscraneyz@zdnet.com,754-555-8162,566 West Way,Fort Lauderdale,FL,33336,2007-06-15,3959.82,Wells Scraney,Wells Scraney,616-771-9339
d11fb795-fbf5-4fe9-a577-b13056a6f9d9,Binny,Filde,2014-03-19,Female,bfilde10@google.es,808-598-7489,5 Gateway Hill,Honolulu,HI,96850,2015-11-29,3838.33,Binny Filde,Binny Filde,786-982-3201
162506c5-4f57-4b55-bb1b-2b6923425d4b,Fanchette,Brussell,1950-04-17,Bigender,fbrussell11@go.com,314-480-3031,44 Debra Place,Saint Louis,MO,63180,2018-10-10,716.76,Fanchette Brussell,Fanchette Brussell,805-662-4747
5d25b2c0-6eb5-4624-a0f3-1b04f095c127,Trever,Cusiter,1985-07-29,Male,tcusiter12@opera.com,864-581-5517,229 Sundown Road,Spartanburg,SC,29319,2016-04-28,4861.94,Trever Cusiter,Trever Cusiter,775-145-6699
0465496f-749b-4504-80e9-c55dc6fa6f5b,Haslett,Gonneau,2009-01-01,Male,hgonneau13@cpanel.net,919-350-4044,514 Clove Park,Raleigh,NC,27615,2022-12-31,2412.25,Haslett Gonneau,Haslett Gonneau,941-648-7967
5bd65369-a0b6-48ae-b5bc-5bdf438b67b6,Kerstin,Jozwicki,1960-09-23,Female,kjozwicki14@joomla.org,319-364-7942,00833 Scoville Circle,Cedar Rapids,IA,52410,1995-12-26,2956.91,Kerstin Jozwicki,Kerstin Jozwicki,502-215-9795
75cb64d0-15b6-49d7-834d-4396f59638fa,Rona,Seville,1962-05-25,Female,rseville15@fda.gov,508-990-5760,64 Milwaukee Alley,Brockton,MA,02305,1995-04-13,4776.73,Rona Seville,Rona Seville,503-886-7464
a06ed191-bd69-41a9-8fc7-2b55be6e450d,Claudell,Goligly,1979-10-04,Male,cgoligly16@bizjournals.com,714-315-7805,1 Merrick Place,Irvine,CA,92710,1999-08-29,2999.44,Claudell Goligly,Claudell Goligly,806-179-2832
6dfefbfe-9f82-4925-893c-f4982abef509,Godfrey,De Mattei,2020-05-17,Male,gde17@elegantthemes.com,915-132-9728,5 Lawn Way,El Paso,TX,88579,2017-04-09,2431.77,Godfrey De Mattei,Godfrey De Mattei,213-451-9222
4ba5e494-d586-4568-8889-0470c14e1c74,Enid,Whewell,2023-07-24,Female,ewhewell18@slideshare.net,209-942-4209,84 Leroy Road,Stockton,CA,95219,2012-09-24,1700.13,Enid Whewell,Enid Whewell,484-969-9200
0f4ee758-2bb7-440d-9625-80c0fbbcfcc3,Krystalle,Le Frank,1969-12-15,Female,kle19@bravesites.com,754-632-2382,909 Bonner Way,Fort Lauderdale,FL,33345,2006-04-29,1583.82,Krystalle Le Frank,Krystalle Le Frank,253-310-0878
b3911376-62f3-473d-8434-7e36fa00cf8d,Talbert,Fiddiman,1997-02-25,Male,tfiddiman1a@nature.com,314-407-5685,8 Carberry Hill,Saint Louis,MO,63121,2015-03-21,846.47,Talbert Fiddiman,Talbert Fiddiman,713-102-7423
47ecfc5b-1cef-446c-bae1-7a9bff3f83d3,Nessy,Scruton,1994-01-26,Genderfluid,nscruton1b@mac.com,916-905-7154,715 Tony Point,Sacramento,CA,94273,2010-05-09,2782.18,Nessy Scruton,Nessy Scruton,234-597-9710
ef086ab7-a369-49ea-a5a2-739ac51278b2,Bonnibelle,Whyffen,1988-03-17,Female,bwhyffen1c@jigsy.com,703-567-1138,615 Badeau Alley,Alexandria,VA,22301,1997-11-05,1248.8,Bonnibelle Whyffen,Bonnibelle Whyffen,214-990-0740
65ba278a-6659-44a0-8b1b-b54e6e812a5c,Wynne,Shew,2009-09-24,Female,wshew1d@newyorker.com,267-835-1102,71 Crescent Oaks Pass,Levittown,PA,19058,2010-07-05,1550.86,Wynne Shew,Wynne Shew,601-703-0870
03a70dab-a14a-4e68-9128-a0b9a4ebd1da,Gertrudis,Clemont,1964-09-26,Female,gclemont1e@wp.com,571-367-7059,4 Glacier Hill Avenue,Springfield,VA,22156,2011-03-24,4317.5,Gertrudis Clemont,Gertrudis Clemont,805-726-9675
